No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
143,saude emocional no trabalho,260,3,11,16,http://sso.com.br/2023/08/02/saude-emocional-trabalho/
144,vhs para que serve,1300,6,11,15,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
145,depois da licença maternidade posso ser mandada embora,210,2,10,13,http://sso.com.br/2023/12/14/voltei-da-licenca-maternidade-posso-ser-demitida/
146,pode mandar embora depois da licença maternidade,140,2,10,13,http://sso.com.br/artigos/voltei-da-licenca-maternidade-posso-ser-demitida
147,onde fazer aso admissional,320,2,10,8,http://sso.com.br/
148,validade exame admissional,1000,4,10,13,http://sso.com.br/2025/01/10/exame-admissional-vale-como-demissional/
149,apos licença maternidade quanto tempo de estabilidade,260,3,10,17,http://sso.com.br/2023/12/14/voltei-da-licenca-maternidade-posso-ser-demitida/
150,absenteismo o'que é,4400,38,10,35,http://sso.com.br/2025/09/17/o-que-e-absenteismo-no-trabalho/
151,indenização acidente de trabalho,1000,4,10,18,http://sso.com.br/2023/02/02/indenizacao-acidente-de-trabalho/
152,nr 12,60500,21,10,53,http://sso.com.br/artigos/nr-12-seguranca-trabalho-maquinas-equipamentos
153,norma regulamentadora 5 resumo,210,3,10,14,http://sso.com.br/2023/01/12/nova-nr-5/
154,saturação caindo,140,3,10,15,http://sso.com.br/artigos/saturacao-de-oxigenio
155,laudo nr12,480,6,10,8,http://sso.com.br/2023/11/21/o-que-e-laudo-nr12/
156,exame demissional quanto custa,210,3,10,7,http://sso.com.br/pcmatnr5/
157,norma regulamentadora 15,49500,37,10,33,http://sso.com.br/2025/03/14/o-que-e-nr-15/
158,atestado admissional onde fazer,320,2,10,10,http://sso.com.br/
159,exposiçao ocupacional,260,4,9,15,http://sso.com.br/2022/11/18/exposicao-ocupacional/
160,clinica aso admissional,260,3,9,4,http://sso.com.br/
161,demissional e admissional,260,2,9,8,http://sso.com.br/2025/01/10/exame-admissional-vale-como-demissional/
162,acidentes com torno mecânico,210,2,9,26,http://sso.com.br/2024/02/15/acidente-com-torno/
163,tempo de estabilidade após licença maternidade,210,2,9,17,http://sso.com.br/2023/12/14/voltei-da-licenca-maternidade-posso-ser-demitida/
164,exame demissional é obrigatório,4400,12,9,14,http://sso.com.br/2024/07/31/pedido-de-demissao-precisa-fazer-exame-demissional/
165,exame admissional e demissional,590,3,9,9,http://sso.com.br/2025/01/10/exame-admissional-vale-como-demissional/
166,pedi demissão e não fiz exame demissional,210,3,9,12,http://sso.com.br/2024/07/31/pedido-de-demissao-precisa-fazer-exame-demissional/
167,onde fazer exame admissional perto de mim,1000,3,9,8,http://sso.com.br/
168,demitir apos licença maternidade,480,3,9,13,http://sso.com.br/2023/12/14/voltei-da-licenca-maternidade-posso-ser-demitida/
169,fiz exame admissional e quero desistir da vaga,210,3,9,18,http://sso.com.br/2024/04/08/a-empresa-pode-desistir-de-contratar-apos-exame-admissional/
170,depois do exame admissional quanto tempo para começar a trabalhar,210,3,9,14,http://sso.com.br/2024/04/08/a-empresa-pode-desistir-de-contratar-apos-exame-admissional/
171,normas regulamentadoras 12,60500,41,8,25,http://sso.com.br/2024/02/02/nr-12-seguranca-trabalho-maquinas-equipamentos/
172,norma medicina do trabalho,320,4,8,33,http://sso.com.br/2023/12/06/normas-medicina-do-trabalho/
173,demissão após licença maternidade,480,3,8,19,http://sso.com.br/2023/12/14/voltei-da-licenca-maternidade-posso-ser-demitida/
174,médico do trabalho,8100,22,8,32,http://sso.com.br/2024/07/10/medicos-do-trabalho/
175,exame para sair da empresa,210,3,8,15,http://sso.com.br/2024/07/31/pedido-de-demissao-precisa-fazer-exame-demissional/
176,o que acontece se nao fizer o exame demissional,390,6,8,14,http://sso.com.br/2024/07/31/pedido-de-demissao-precisa-fazer-exame-demissional/
177,exames admissionais quais são,1000,8,8,12,http://sso.com.br/2024/07/25/quais-sao-os-exames-admissionais-para-concurso-publico/
178,aso para trabalho em altura,210,3,8,8,http://sso.com.br/2024/06/20/exames-para-quem-trabalha-em-altura/
179,intermitente,49500,22,8,31,http://sso.com.br/artigos/trabalho-intermitente
180,como é feito o exame psicotécnico,720,4,8,19,http://sso.com.br/2022/02/18/como-e-feito-o-exame-psicotecnico/
181,sso med sorocaba,140,3,8,6,http://sso.com.br/
182,e social,1500000,81,8,57,http://sso.com.br/2021/12/08/voce-sabe-o-que-e-o-e-social/
183,clinica de exames ocupacionais,210,3,8,21,http://sso.com.br/
184,depois do exame admissional qual o próximo passo,880,3,8,15,http://sso.com.br/2024/04/08/a-empresa-pode-desistir-de-contratar-apos-exame-admissional/
185,nr 5 resumo,210,3,8,10,http://sso.com.br/2023/01/12/nova-nr-5/
186,acidentes torno,170,3,8,31,http://sso.com.br/artigos/acidente-com-torno
187,febril ou febre,210,3,8,12,http://sso.com.br/2025/03/31/quando-e-estado-febril/
188,vhs alto,4400,23,8,13,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
189,o que é estado febril,260,3,8,13,http://sso.com.br/2025/03/31/quando-e-estado-febril/
190,acidente torno mecânico,320,4,8,22,http://sso.com.br/2024/02/15/acidente-com-torno/
191,mudança de função,320,4,8,23,http://sso.com.br/2022/08/05/mudanca-de-funcao/
192,estabilidade retorno licença maternidade,210,3,8,17,http://sso.com.br/2023/12/14/voltei-da-licenca-maternidade-posso-ser-demitida/
193,o'que e exame admissional,6600,23,7,17,http://sso.com.br/2024/02/21/exame-pre-admissional/
194,febre leve,170,4,7,18,http://sso.com.br/artigos/quando-e-estado-febril
195,ergonômico significado,3600,20,7,36,http://sso.com.br/2022/06/13/laudo-ergonomico/
196,nr 15,49500,51,7,48,http://sso.com.br/2025/03/14/o-que-e-nr-15/
197,estado febril e febre,880,4,7,13,http://sso.com.br/2025/03/31/quando-e-estado-febril/
198,quanto tempo de instabilidade apos licença maternidade,320,4,7,16,http://sso.com.br/2023/12/14/voltei-da-licenca-maternidade-posso-ser-demitida/
199,norma regulamentadora 05 cipa,1300,9,7,34,http://sso.com.br/2025/02/17/nr-05/
200,nr 18,60500,42,7,49,http://sso.com.br/nr/nr-18
201,o q é intermitente,6600,23,7,29,http://sso.com.br/2023/02/08/trabalho-intermitente/
202,dds equipamento de proteção individual,320,4,7,9,http://sso.com.br/2022/11/26/importancia-do-uso-de-epi/
203,licença maternidade estabilidade,390,6,7,17,http://sso.com.br/2023/12/14/voltei-da-licenca-maternidade-posso-ser-demitida/
204,o que significa intermitentemente,3600,15,7,27,http://sso.com.br/2023/02/08/trabalho-intermitente/
205,atestado desconta nas ferias,1000,7,7,22,http://sso.com.br/2023/07/06/atestado-medico-pode-descontar-ferias/
206,o que reprova no exame de sangue admissional,590,4,6,10,http://sso.com.br/2022/05/13/o-que-reprova-no-exame-admissional/
207,qualilog,320,7,6,15,http://sso.com.br/clientes/
208,art de engenheiro,210,4,6,27,http://sso.com.br/artigos/o-que-e-art-crea
209,apos a licença maternidade qual o periodo de estabilidade,170,3,6,14,http://sso.com.br/2023/12/14/voltei-da-licenca-maternidade-posso-ser-demitida/
210,ergonomia escritório,260,6,6,11,http://sso.com.br/2025/05/21/ergonomia-no-escritorio/
211,corpo febril,390,5,6,13,http://sso.com.br/2025/03/31/quando-e-estado-febril/
212,o que é art,4400,16,6,45,http://sso.com.br/2025/08/05/o-que-e-art-crea/
213,demissão após licença maternidade e férias,390,6,6,21,http://sso.com.br/2023/12/14/voltei-da-licenca-maternidade-posso-ser-demitida/
214,trabalho em altura riscos,210,7,6,12,http://sso.com.br/2024/12/09/riscos-trabalho-em-altura/
215,quanto tempo de estabilidade após licença maternidade,260,2,6,11,http://sso.com.br/2023/12/14/voltei-da-licenca-maternidade-posso-ser-demitida/
216,aptidao física,4400,13,6,29,http://sso.com.br/2024/04/19/como-conseguir-um-atestado-de-aptidao-fisica/
217,quanto custa um exame demissional,210,7,6,7,http://sso.com.br/2021/12/07/exame-demissional/
218,nr5 atualizada,2900,21,6,23,http://sso.com.br/2023/01/12/nova-nr-5/
219,trabalhos em altura riscos,210,9,6,13,http://sso.com.br/2024/12/09/riscos-trabalho-em-altura/
220,trabalhos repetitivos,170,6,6,14,http://sso.com.br/2024/09/19/doencas-causadas-por-movimentos-repetitivos-no-trabalho/
221,para que serve art,210,7,6,36,http://sso.com.br/2025/08/05/o-que-e-art-crea/
222,kit admissional,210,5,6,9,http://sso.com.br/manual-do-sistema-kit-de-atendimento/
223,depois do exame admissional quanto tempo para assinar carteira,170,3,6,14,http://sso.com.br/2024/04/08/a-empresa-pode-desistir-de-contratar-apos-exame-admissional/
224,lesão imediata,320,5,6,15,http://sso.com.br/2022/08/02/acidentes-ocupacionais/
225,riscos trabalho em altura,210,8,6,13,http://sso.com.br/2024/12/09/riscos-trabalho-em-altura/
226,rigger significado,480,5,5,15,http://sso.com.br/2023/04/26/plano-de-rigger/
227,dds sobre epi,260,5,5,11,http://sso.com.br/2022/11/26/importancia-do-uso-de-epi/
228,sou obrigado a fazer o exame demissional,320,5,5,16,http://sso.com.br/2024/07/31/pedido-de-demissao-precisa-fazer-exame-demissional/
229,para que serve vhs,140,5,5,18,http://sso.com.br/artigos/exame-vhs-para-que-serve
230,ergonomia para escritório,260,3,5,19,http://sso.com.br/2025/05/21/ergonomia-no-escritorio/
231,quando está febril,260,4,5,13,http://sso.com.br/2025/03/31/quando-e-estado-febril/
232,nr 5 atualizada,2900,11,5,17,http://sso.com.br/2023/01/12/nova-nr-5/
233,quando é estado febril,170,3,5,12,http://sso.com.br/artigos/quando-e-estado-febril
234,como é feito eletrocardiograma,5400,21,5,35,http://sso.com.br/2025/01/24/como-e-feito-o-eletrocardiograma/
235,temperatura 38 é febre,390,4,5,17,http://sso.com.br/2025/03/31/quando-e-estado-febril/
236,febre febril,170,5,5,15,http://sso.com.br/2025/03/31/quando-e-estado-febril/
237,rescisão de funcionário afastado pelo inss,320,5,5,13,http://sso.com.br/2025/09/09/funcionario-afastado-pelo-inss-pode-ser-demitido/
238,saturação baixa e perigoso,140,5,5,21,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
239,o que significa intermitente,3600,17,5,38,http://sso.com.br/2023/02/08/trabalho-intermitente/
240,pode ir trabalhar de atestado,320,5,5,21,http://sso.com.br/2023/06/22/trabalhar-de-atestado/
241,grupo sos tatuapé saúde ocupacional e segurança do trabalho,320,8,5,12,http://sso.com.br/
242,importância do epi,210,7,5,13,http://sso.com.br/2022/11/26/importancia-do-uso-de-epi/
243,nr 18 atualizada,2900,11,5,27,http://sso.com.br/2024/12/13/nr-18-atualizada/
244,posso fazer acordo com a empresa depois da licença maternidade,320,6,5,21,http://sso.com.br/2023/12/14/voltei-da-licenca-maternidade-posso-ser-demitida/
245,o que é ergonomia cognitiva,210,4,5,10,http://sso.com.br/2022/12/01/ergonomia-cognitiva/
246,atestado aptidao fisica,140,5,5,24,http://sso.com.br/2024/04/19/como-conseguir-um-atestado-de-aptidao-fisica/
247,o que e sipat,2900,14,5,11,http://sso.com.br/2025/04/14/o-que-e-sipat-e-qual-seu-objetivo/
248,exame periodico vale como demissional,170,7,5,10,http://sso.com.br/2025/01/10/exame-admissional-vale-como-demissional/
249,qual a validade do aso admissional,170,3,5,12,http://sso.com.br/2025/09/04/validade-exames-ocupacionais/
250,exames de sangue vhs,5400,24,5,15,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
251,laudo nr 12,480,5,5,9,http://sso.com.br/2023/11/21/o-que-e-laudo-nr12/
252,quem pode emitir art,260,5,5,22,http://sso.com.br/2025/08/05/o-que-e-art-crea/
253,multa do ministério do trabalho,170,7,5,19,http://sso.com.br/2024/05/21/multa-ministerio-do-trabalho/
254,voltei da licença maternidade posso pedir demissão,390,5,5,21,http://sso.com.br/2023/12/14/voltei-da-licenca-maternidade-posso-ser-demitida/
255,quanto custa exame demissional,210,4,5,7,http://sso.com.br/2021/12/07/exame-demissional/
256,qualilog consultoria empresarial,320,6,5,18,http://sso.com.br/
257,38 9 é febre,320,5,5,13,http://sso.com.br/2025/03/31/quando-e-estado-febril/
258,faltas com atestado desconta nas ferias,170,7,5,18,http://sso.com.br/artigos/atestado-medico-pode-descontar-ferias
259,maquinas e equipamentos nr 12,1300,12,4,35,http://sso.com.br/2024/02/02/nr-12-seguranca-trabalho-maquinas-equipamentos/
260,nr 5,22200,40,4,47,http://sso.com.br/2023/01/12/nova-nr-5/
261,clinica saude ocupacional,1000,8,4,30,http://sso.com.br/
262,nr 11,27100,48,4,40,http://sso.com.br/nr/nr-11
263,como saber se o exame toxicológico está vencido,320,18,4,17,http://sso.com.br/2022/09/13/exame-toxicologico-vencido/
264,quanto tempo vale o aso admissional,140,4,4,13,http://sso.com.br/artigos/validade-exames-ocupacionais
265,ruido ambiente,210,8,4,19,http://sso.com.br/2022/11/03/tipos-de-ruido-ambiental/
266,quem se enquadra em pcd,260,19,4,27,http://sso.com.br/2022/02/08/pcd-quem-se-enquadra/
267,quando fazer o exame demissional,170,3,4,13,http://sso.com.br/2024/07/17/posso-fazer-exame-demissional-durante-aviso-previo/
268,37 é estado febril,170,5,4,11,http://sso.com.br/2025/03/31/quando-e-estado-febril/
269,exame audiologia,210,8,4,12,http://sso.com.br/2024/01/19/exames-audiologicos/
270,o que é empresa terceirizada,880,9,4,15,http://sso.com.br/2022/06/17/terceirizacao-de-servicos/
271,é obrigatório fazer exame demissional,1300,12,4,14,http://sso.com.br/2024/07/31/pedido-de-demissao-precisa-fazer-exame-demissional/
272,uso do epi,210,5,4,33,http://sso.com.br/2022/11/26/importancia-do-uso-de-epi/
273,teste de romberg positivo,590,6,4,18,http://sso.com.br/2025/02/19/o-que-e-teste-de-romberg/
274,o'que e segurança do trabalho,4400,22,4,53,http://sso.com.br/2022/03/25/o-que-e-seguranca-do-trabalho/
275,atestado de retorno ao trabalho,260,5,4,11,http://sso.com.br/2023/11/09/atestado-retorno-trabalho/
276,exames admissionais campinas,480,5,4,9,http://sso.com.br/2024/01/02/medicina-do-trabalho-em-campinas/
277,teste de equilíbrio romberg,260,7,4,20,http://sso.com.br/2025/02/19/o-que-e-teste-de-romberg/
278,sintomas de baixa saturação,140,4,4,14,http://sso.com.br/artigos/saturacao-de-oxigenio
279,normas medicina e segurança do trabalho,590,4,4,28,http://sso.com.br/2023/12/06/normas-medicina-do-trabalho/
280,classificação dos riscos ocupacionais,210,6,4,15,http://sso.com.br/artigos/classificacao-dos-riscos-ocupacionais
